course_id,course_name,level,stream,scope,source,source_url,verification_status
COURSE001,B.A. English,UG,Arts & Humanities,All India,UGC/AISHE-aligned national course catalogue,https://www.ugc.gov.in/regulations/UGC_Regulations_university,Prototype catalogue; verify institution-specific availability and regulator approval.
COURSE002,B.A. Hindi,UG,Arts & Humanities,All India,UGC/AISHE-aligned national course catalogue,https://www.ugc.gov.in/regulations/UGC_Regulations_university,Prototype catalogue; verify institution-specific availability and regulator approval.
COURSE003,B.A. History,UG,Arts & Humanities,All India,UGC/AISHE-aligned national course catalogue,https://www.ugc.gov.in/regulations/UGC_Regulations_university,Prototype catalogue; verify institution-specific availability and regulator approval.
COURSE004,B.A. Political Science,UG,Social Sciences,All India,UGC/AISHE-aligned national course catalogue,https://www.ugc.gov.in/regulations/UGC_Regulations_university,Prototype catalogue; verify institution-specific availability and regulator approval.
COURSE005,B.A. Sociology,UG,Social Sciences,All India,UGC/AISHE-aligned national course catalogue,https://www.ugc.gov.in/regulations/UGC_Regulations_university,Prototype catalogue; verify institution-specific availability and regulator approval.
COURSE006,B.A. Economics,UG,Social Sciences,All India,UGC/AISHE-aligned national course catalogue,https://www.ugc.gov.in/regulations/UGC_Regulations_university,Prototype catalogue; verify institution-specific availability and regulator approval.
COURSE007,B.A. Psychology,UG,Social Sciences,All India,UGC/AISHE-aligned national course catalogue,https://www.ugc.gov.in/regulations/UGC_Regulations_university,Prototype catalogue; verify institution-specific availability and regulator approval.
COURSE008,B.A. Geography,UG,Social Sciences,All India,UGC/AISHE-aligned national course catalogue,https://www.ugc.gov.in/regulations/UGC_Regulations_university,Prototype catalogue; verify institution-specific availability and regulator approval.
COURSE009,B.A. Philosophy,UG,Arts & Humanities,All India,UGC/AISHE-aligned national course catalogue,https://www.ugc.gov.in/regulations/UGC_Regulations_university,Prototype catalogue; verify institution-specific availability and regulator approval.
COURSE010,B.A. Sanskrit,UG,Languages,All India,UGC/AISHE-aligned national course catalogue,https://www.ugc.gov.in/regulations/UGC_Regulations_university,Prototype catalogue; verify institution-specific availability and regulator approval.
COURSE011,B.A. Urdu,UG,Languages,All India,UGC/AISHE-aligned national course catalogue,https://www.ugc.gov.in/regulations/UGC_Regulations_university,Prototype catalogue; verify institution-specific availability and regulator approval.
COURSE012,B.A. Public Administration,UG,Social Sciences,All India,UGC/AISHE-aligned national course catalogue,https://www.ugc.gov.in/regulations/UGC_Regulations_university,Prototype catalogue; verify institution-specific availability and regulator approval.
COURSE013,B.A. Journalism & Mass Communication,UG,Media,All India,UGC/AISHE-aligned national course catalogue,https://www.ugc.gov.in/regulations/UGC_Regulations_university,Prototype catalogue; verify institution-specific availability and regulator approval.
COURSE014,B.A. Fine Arts,UG,Fine Arts,All India,UGC/AISHE-aligned national course catalogue,https://www.ugc.gov.in/regulations/UGC_Regulations_university,Prototype catalogue; verify institution-specific availability and regulator approval.
COURSE015,B.A. Music,UG,Performing Arts,All India,UGC/AISHE-aligned national course catalogue,https://www.ugc.gov.in/regulations/UGC_Regulations_university,Prototype catalogue; verify institution-specific availability and regulator approval.
COURSE016,B.A. Archaeology,UG,Humanities,All India,UGC/AISHE-aligned national course catalogue,https://www.ugc.gov.in/regulations/UGC_Regulations_university,Prototype catalogue; verify institution-specific availability and regulator approval.
COURSE017,B.A. Anthropology,UG,Social Sciences,All India,UGC/AISHE-aligned national course catalogue,https://www.ugc.gov.in/regulations/UGC_Regulations_university,Prototype catalogue; verify institution-specific availability and regulator approval.
COURSE018,B.A. Linguistics,UG,Languages,All India,UGC/AISHE-aligned national course catalogue,https://www.ugc.gov.in/regulations/UGC_Regulations_university,Prototype catalogue; verify institution-specific availability and regulator approval.
COURSE019,B.Com,UG,Commerce,All India,UGC/AISHE-aligned national course catalogue,https://www.ugc.gov.in/regulations/UGC_Regulations_university,Prototype catalogue; verify institution-specific availability and regulator approval.
COURSE020,B.Com Accounting & Finance,UG,Commerce,All India,UGC/AISHE-aligned national course catalogue,https://www.ugc.gov.in/regulations/UGC_Regulations_university,Prototype catalogue; verify institution-specific availability and regulator approval.
COURSE021,B.Com Banking & Insurance,UG,Commerce,All India,UGC/AISHE-aligned national course catalogue,https://www.ugc.gov.in/regulations/UGC_Regulations_university,Prototype catalogue; verify institution-specific availability and regulator approval.
COURSE022,B.Com Computer Applications,UG,Commerce,All India,UGC/AISHE-aligned national course catalogue,https://www.ugc.gov.in/regulations/UGC_Regulations_university,Prototype catalogue; verify institution-specific availability and regulator approval.
COURSE023,B.Com Corporate Secretaryship,UG,Commerce,All India,UGC/AISHE-aligned national course catalogue,https://www.ugc.gov.in/regulations/UGC_Regulations_university,Prototype catalogue; verify institution-specific availability and regulator approval.
COURSE024,B.Com E-Commerce,UG,Commerce,All India,UGC/AISHE-aligned national course catalogue,https://www.ugc.gov.in/regulations/UGC_Regulations_university,Prototype catalogue; verify institution-specific availability and regulator approval.
COURSE025,BBA,UG,Management,All India,UGC/AISHE-aligned national course catalogue,https://www.ugc.gov.in/regulations/UGC_Regulations_university,Prototype catalogue; verify institution-specific availability and regulator approval.
COURSE026,BBA Finance,UG,Management,All India,UGC/AISHE-aligned national course catalogue,https://www.ugc.gov.in/regulations/UGC_Regulations_university,Prototype catalogue; verify institution-specific availability and regulator approval.
COURSE027,BBA Marketing,UG,Management,All India,UGC/AISHE-aligned national course catalogue,https://www.ugc.gov.in/regulations/UGC_Regulations_university,Prototype catalogue; verify institution-specific availability and regulator approval.
COURSE028,BBA Human Resource Management,UG,Management,All India,UGC/AISHE-aligned national course catalogue,https://www.ugc.gov.in/regulations/UGC_Regulations_university,Prototype catalogue; verify institution-specific availability and regulator approval.
COURSE029,BBA Business Analytics,UG,Management,All India,UGC/AISHE-aligned national course catalogue,https://www.ugc.gov.in/regulations/UGC_Regulations_university,Prototype catalogue; verify institution-specific availability and regulator approval.
COURSE030,BBA International Business,UG,Management,All India,UGC/AISHE-aligned national course catalogue,https://www.ugc.gov.in/regulations/UGC_Regulations_university,Prototype catalogue; verify institution-specific availability and regulator approval.
COURSE031,BBA Tourism Management,UG,Management,All India,UGC/AISHE-aligned national course catalogue,https://www.ugc.gov.in/regulations/UGC_Regulations_university,Prototype catalogue; verify institution-specific availability and regulator approval.
COURSE032,BCA,UG,Computer Applications,All India,UGC/AISHE-aligned national course catalogue,https://www.ugc.gov.in/regulations/UGC_Regulations_university,Prototype catalogue; verify institution-specific availability and regulator approval.
COURSE033,BCA Data Science,UG,Computer Applications,All India,UGC/AISHE-aligned national course catalogue,https://www.ugc.gov.in/regulations/UGC_Regulations_university,Prototype catalogue; verify institution-specific availability and regulator approval.
COURSE034,BCA Artificial Intelligence,UG,Computer Applications,All India,UGC/AISHE-aligned national course catalogue,https://www.ugc.gov.in/regulations/UGC_Regulations_university,Prototype catalogue; verify institution-specific availability and regulator approval.
COURSE035,BCA Cyber Security,UG,Computer Applications,All India,UGC/AISHE-aligned national course catalogue,https://www.ugc.gov.in/regulations/UGC_Regulations_university,Prototype catalogue; verify institution-specific availability and regulator approval.
COURSE036,BCA Cloud Computing,UG,Computer Applications,All India,UGC/AISHE-aligned national course catalogue,https://www.ugc.gov.in/regulations/UGC_Regulations_university,Prototype catalogue; verify institution-specific availability and regulator approval.
COURSE037,B.Sc. Mathematics,UG,Science,All India,UGC/AISHE-aligned national course catalogue,https://www.ugc.gov.in/regulations/UGC_Regulations_university,Prototype catalogue; verify institution-specific availability and regulator approval.
COURSE038,B.Sc. Physics,UG,Science,All India,UGC/AISHE-aligned national course catalogue,https://www.ugc.gov.in/regulations/UGC_Regulations_university,Prototype catalogue; verify institution-specific availability and regulator approval.
COURSE039,B.Sc. Chemistry,UG,Science,All India,UGC/AISHE-aligned national course catalogue,https://www.ugc.gov.in/regulations/UGC_Regulations_university,Prototype catalogue; verify institution-specific availability and regulator approval.
