degree_id,degree_code,degree_name,level,stream,state_relevance,source,source_url,verification_note
INDDEG0001,BA,Bachelor of Arts,UG,Arts & Humanities,All India,UGC specified-degree framework / MP university programme directories,https://www.ugc.gov.in/regulations/UGC_Regulations_university,Degree/programme title is a prototype catalogue entry; actual availability varies by institution and academic year.
INDDEG0002,BA English,Bachelor of Arts (English),UG,Arts & Humanities,All India,UGC specified-degree framework / MP university programme directories,https://www.ugc.gov.in/regulations/UGC_Regulations_university,Degree/programme title is a prototype catalogue entry; actual availability varies by institution and academic year.
INDDEG0003,BA Hindi,Bachelor of Arts (Hindi),UG,Arts & Humanities,All India,UGC specified-degree framework / MP university programme directories,https://www.ugc.gov.in/regulations/UGC_Regulations_university,Degree/programme title is a prototype catalogue entry; actual availability varies by institution and academic year.
INDDEG0004,BA History,Bachelor of Arts (History),UG,Arts & Humanities,All India,UGC specified-degree framework / MP university programme directories,https://www.ugc.gov.in/regulations/UGC_Regulations_university,Degree/programme title is a prototype catalogue entry; actual availability varies by institution and academic year.
INDDEG0005,BA Political Science,Bachelor of Arts (Political Science),UG,Arts & Humanities,All India,UGC specified-degree framework / MP university programme directories,https://www.ugc.gov.in/regulations/UGC_Regulations_university,Degree/programme title is a prototype catalogue entry; actual availability varies by institution and academic year.
INDDEG0006,BA Economics,Bachelor of Arts (Economics),UG,Social Sciences,All India,UGC specified-degree framework / MP university programme directories,https://www.ugc.gov.in/regulations/UGC_Regulations_university,Degree/programme title is a prototype catalogue entry; actual availability varies by institution and academic year.
INDDEG0007,BA Sociology,Bachelor of Arts (Sociology),UG,Social Sciences,All India,UGC specified-degree framework / MP university programme directories,https://www.ugc.gov.in/regulations/UGC_Regulations_university,Degree/programme title is a prototype catalogue entry; actual availability varies by institution and academic year.
INDDEG0008,BA Psychology,Bachelor of Arts (Psychology),UG,Social Sciences,All India,UGC specified-degree framework / MP university programme directories,https://www.ugc.gov.in/regulations/UGC_Regulations_university,Degree/programme title is a prototype catalogue entry; actual availability varies by institution and academic year.
INDDEG0009,BA Geography,Bachelor of Arts (Geography),UG,Social Sciences,All India,UGC specified-degree framework / MP university programme directories,https://www.ugc.gov.in/regulations/UGC_Regulations_university,Degree/programme title is a prototype catalogue entry; actual availability varies by institution and academic year.
INDDEG0010,BA Philosophy,Bachelor of Arts (Philosophy),UG,Arts & Humanities,All India,UGC specified-degree framework / MP university programme directories,https://www.ugc.gov.in/regulations/UGC_Regulations_university,Degree/programme title is a prototype catalogue entry; actual availability varies by institution and academic year.
INDDEG0011,BA Sanskrit,Bachelor of Arts (Sanskrit),UG,Arts & Humanities,All India,UGC specified-degree framework / MP university programme directories,https://www.ugc.gov.in/regulations/UGC_Regulations_university,Degree/programme title is a prototype catalogue entry; actual availability varies by institution and academic year.
INDDEG0012,BA Urdu,Bachelor of Arts (Urdu),UG,Arts & Humanities,All India,UGC specified-degree framework / MP university programme directories,https://www.ugc.gov.in/regulations/UGC_Regulations_university,Degree/programme title is a prototype catalogue entry; actual availability varies by institution and academic year.
INDDEG0013,BA Journalism,Bachelor of Arts (Journalism),UG,Media,All India,UGC specified-degree framework / MP university programme directories,https://www.ugc.gov.in/regulations/UGC_Regulations_university,Degree/programme title is a prototype catalogue entry; actual availability varies by institution and academic year.
INDDEG0014,BA Mass Communication,Bachelor of Arts (Mass Communication),UG,Media,All India,UGC specified-degree framework / MP university programme directories,https://www.ugc.gov.in/regulations/UGC_Regulations_university,Degree/programme title is a prototype catalogue entry; actual availability varies by institution and academic year.
INDDEG0015,BA Public Administration,Bachelor of Arts (Public Administration),UG,Social Sciences,All India,UGC specified-degree framework / MP university programme directories,https://www.ugc.gov.in/regulations/UGC_Regulations_university,Degree/programme title is a prototype catalogue entry; actual availability varies by institution and academic year.
INDDEG0016,BA Rural Development,Bachelor of Arts (Rural Development),UG,Social Sciences,All India,UGC specified-degree framework / MP university programme directories,https://www.ugc.gov.in/regulations/UGC_Regulations_university,Degree/programme title is a prototype catalogue entry; actual availability varies by institution and academic year.
